"","x"
"291","PF00502.23"
"292","PF00504.25"
"293","PF00507.23"
"294","PF00510.22"
"295","PF00512.29"
"296","PF00514.27"
"297","PF00515.32"
"298","PF00520.35"
"299","PF00521.24"
"300","PF00528.26"
"301","PF00529.24"
"302","PF00532.25"
"303","PF00533.30"
"304","PF00534.24"
"305","PF00535.30"
"306","PF00536.34"
"307","PF00542.23"
"308","PF00543.26"
"309","PF00545.24"
"310","PF00547.22"
"311","PF00549.23"
"312","PF00550.29"
"313","PF00551.23"
"314","PF00553.23"
"315","PF00556.24"
"316","PF00557.28"
"317","PF00560.37"
"318","PF00561.24"
"319","PF00562.32"
"320","PF00563.24"
"321","PF00565.21"
"322","PF00570.27"
"323","PF00571.32"
"324","PF00572.22"
"325","PF00573.26"
"326","PF00574.27"
"327","PF00575.27"
"328","PF00576.25"
"329","PF00577.24"
"330","PF00578.25"
"331","PF00579.29"
"332","PF00580.25"
"333","PF00581.24"
"334","PF00582.30"
"335","PF00583.29"
"336","PF00584.24"
"337","PF00585.22"
"338","PF00586.28"
"339","PF00587.29"
"340","PF00588.23"
"341","PF00589.26"
"342","PF00590.24"
"343","PF00591.25"
"344","PF00593.28"
"345","PF00595.28"
"346","PF00596.25"
"347","PF00614.26"
"348","PF00623.24"
"349","PF00625.25"
"350","PF00633.27"
"351","PF00636.30"
"352","PF00639.25"
"353","PF00648.25"
"354","PF00654.24"
"355","PF00656.26"
"356","PF00657.26"
"357","PF00662.24"
"358","PF00664.27"
"359","PF00665.30"
"360","PF00668.24"
"361","PF00669.24"
"362","PF00670.25"
"363","PF00672.29"
"364","PF00673.25"
"365","PF00675.24"
"366","PF00676.24"
"367","PF00677.21"
"368","PF00679.28"
"369","PF00682.23"
"370","PF00684.23"
"371","PF00685.31"
"372","PF00686.23"
"373","PF00687.25"
"374","PF00689.25"
"375","PF00690.30"
"376","PF00691.24"
"377","PF00692.23"
"378","PF00694.23"
"379","PF00696.32"
"380","PF00697.26"
"381","PF00698.25"
"382","PF00699.24"
"383","PF00700.25"
"384","PF00701.26"
"385","PF00702.30"
"386","PF00703.25"
"387","PF00704.32"
"388","PF00707.26"
"389","PF00708.22"
"390","PF00709.25"
"391","PF00710.24"
"392","PF00712.23"
"393","PF00717.27"
"394","PF00719.23"
"395","PF00722.25"
"396","PF00724.24"
"397","PF00725.26"
"398","PF00730.29"
"399","PF00731.24"
"400","PF00732.23"
"401","PF00733.25"
"402","PF00742.23"
"403","PF00743.23"
"404","PF00745.24"
"405","PF00749.25"
"406","PF00750.23"
"407","PF00753.31"
"408","PF00754.29"
"409","PF00756.24"
"410","PF00759.23"
"411","PF00762.23"
"412","PF00763.27"
"413","PF00764.23"
"414","PF00765.21"
"415","PF00766.23"
"416","PF00768.24"
"417","PF00771.24"
"418","PF00772.25"
"419","PF00773.23"
"420","PF00775.25"
"421","PF00781.28"
"422","PF00782.24"
"423","PF00793.24"
"424","PF00795.26"
"425","PF00796.22"
"426","PF00800.22"
"427","PF00801.24"
"428","PF00805.26"
"429","PF00809.26"
"430","PF00813.24"
"431","PF00814.29"
"432","PF00815.24"
"433","PF00816.25"
"434","PF00817.24"
"435","PF00821.22"
"436","PF00825.22"
"437","PF00828.23"
"438","PF00829.25"
"439","PF00830.23"
"440","PF00831.27"
"441","PF00834.23"
"442","PF00842.25"
"443","PF00848.23"
"444","PF00849.26"
"445","PF00850.23"
"446","PF00852.23"
"447","PF00854.25"
"448","PF00856.32"
"449","PF00857.24"
"450","PF00860.24"
"451","PF00861.26"
"452","PF00866.22"
"453","PF00871.21"
"454","PF00873.23"
"455","PF00875.22"
"456","PF00877.23"
"457","PF00881.28"
"458","PF00883.25"
"459","PF00884.27"
"460","PF00885.23"
"461","PF00886.23"
"462","PF00887.23"
"463","PF00889.23"
"464","PF00890.28"
"465","PF00891.22"
"466","PF00892.24"
"467","PF00893.23"
"468","PF00899.25"
"469","PF00902.22"
"470","PF00903.29"
"471","PF00905.26"
"472","PF00908.21"
"473","PF00909.25"
"474","PF00910.26"
"475","PF00912.26"
"476","PF00916.24"
"477","PF00919.24"
"478","PF00920.25"
"479","PF00923.23"
"480","PF00924.22"
"481","PF00925.24"
"482","PF00926.23"
"483","PF00929.28"
"484","PF00930.25"
"485","PF00931.26"
"486","PF00933.25"
"487","PF00936.23"
"488","PF00939.23"
"489","PF00941.25"
"490","PF00950.21"
"491","PF00953.25"
"492","PF00958.26"
"493","PF00962.26"
"494","PF00970.28"
"495","PF00975.24"
"496","PF00977.25"
"497","PF00984.23"
"498","PF00986.25"
"499","PF00988.26"
"500","PF00989.29"
"501","PF00990.25"
"502","PF00994.28"
"503","PF00999.25"
"504","PF01000.30"
"505","PF01008.21"
"506","PF01010.23"
"507","PF01011.25"
"508","PF01012.25"
"509","PF01016.23"
"510","PF01018.26"
"511","PF01019.25"
"512","PF01022.24"
"513","PF01025.23"
"514","PF01026.25"
"515","PF01027.24"
"516","PF01029.22"
"517","PF01032.22"
"518","PF01035.24"
"519","PF01036.22"
"520","PF01037.25"
"521","PF01039.26"
"522","PF01040.22"
"523","PF01041.21"
"524","PF01042.25"
"525","PF01043.24"
"526","PF01047.26"
"527","PF01048.24"
"528","PF01050.22"
"529","PF01052.24"
"530","PF01053.24"
"531","PF01055.30"
"532","PF01058.26"
"533","PF01059.21"
"534","PF01061.28"
"535","PF01062.25"
"536","PF01063.23"
"537","PF01066.25"
"538","PF01068.25"
"539","PF01070.22"
"540","PF01071.23"
"541","PF01073.23"
"542","PF01074.26"
"543","PF01075.21"
"544","PF01077.26"
"545","PF01078.25"
"546","PF01081.23"
"547","PF01084.24"
"548","PF01087.26"
"549","PF01094.32"
"550","PF01098.23"
"551","PF01103.27"
"552","PF01106.21"
"553","PF01112.22"
"554","PF01113.24"
"555","PF01116.24"
"556","PF01118.28"
"557","PF01119.23"
"558","PF01121.24"
"559","PF01124.22"
"560","PF01126.24"
"561","PF01127.26"
"562","PF01128.23"
"563","PF01129.22"
"564","PF01131.24"
"565","PF01132.24"
"566","PF01134.26"
"567","PF01135.23"
"568","PF01136.23"
"569","PF01138.25"
"570","PF01139.21"
"571","PF01142.22"
"572","PF01144.27"
"573","PF01145.29"
"574","PF01148.24"
"575","PF01149.28"
"576","PF01152.25"
"577","PF01155.23"
"578","PF01156.23"
"579","PF01161.24"
"580","PF01163.26"
