"","x"
"1248","PF02779.28"
"1249","PF02780.24"
"1250","PF02781.20"
"1251","PF02782.20"
"1252","PF02784.20"
"1253","PF02785.23"
"1254","PF02786.21"
"1255","PF02787.23"
"1256","PF02788.20"
"1257","PF02789.21"
"1258","PF02790.19"
"1259","PF02796.19"
"1260","PF02797.19"
"1261","PF02798.24"
"1262","PF02800.24"
"1263","PF02801.26"
"1264","PF02803.22"
"1265","PF02806.22"
"1266","PF02810.19"
"1267","PF02811.23"
"1268","PF02812.22"
"1269","PF02814.19"
"1270","PF02817.21"
"1271","PF02823.20"
"1272","PF02824.25"
"1273","PF02826.23"
"1274","PF02830.22"
"1275","PF02833.18"
"1276","PF02834.20"
"1277","PF02836.21"
"1278","PF02837.22"
"1279","PF02843.20"
"1280","PF02844.19"
"1281","PF02852.26"
"1282","PF02861.24"
"1283","PF02863.22"
"1284","PF02866.22"
"1285","PF02867.19"
"1286","PF02870.19"
"1287","PF02872.22"
"1288","PF02873.20"
"1289","PF02874.27"
"1290","PF02875.25"
"1291","PF02878.20"
"1292","PF02879.20"
"1293","PF02880.20"
"1294","PF02881.23"
"1295","PF02882.23"
"1296","PF02885.21"
"1297","PF02887.20"
"1298","PF02894.21"
"1299","PF02895.18"
"1300","PF02896.22"
"1301","PF02897.19"
"1302","PF02899.21"
"1303","PF02900.22"
"1304","PF02910.24"
"1305","PF02911.22"
"1306","PF02912.22"
"1307","PF02913.23"
"1308","PF02915.21"
"1309","PF02922.22"
"1310","PF02926.21"
"1311","PF02927.18"
"1312","PF02934.19"
"1313","PF02938.18"
"1314","PF02941.19"
"1315","PF02951.18"
"1316","PF02954.23"
"1317","PF02955.20"
"1318","PF02958.24"
"1319","PF02965.21"
"1320","PF02971.18"
"1321","PF02978.23"
"1322","PF02979.20"
"1323","PF02985.26"
"1324","PF02995.21"
"1325","PF03006.24"
"1326","PF03009.21"
"1327","PF03023.18"
"1328","PF03030.20"
"1329","PF03031.22"
"1330","PF03033.24"
"1331","PF03040.18"
"1332","PF03050.18"
"1333","PF03054.20"
"1334","PF03055.19"
"1335","PF03060.19"
"1336","PF03061.26"
"1337","PF03062.23"
"1338","PF03065.19"
"1339","PF03069.19"
"1340","PF03070.20"
"1341","PF03073.19"
"1342","PF03079.18"
"1343","PF03083.20"
"1344","PF03088.20"
"1345","PF03091.19"
"1346","PF03092.20"
"1347","PF03096.18"
"1348","PF03098.19"
"1349","PF03099.23"
"1350","PF03100.19"
"1351","PF03102.18"
"1352","PF03104.23"
"1353","PF03109.20"
"1354","PF03118.19"
"1355","PF03119.20"
"1356","PF03120.20"
"1357","PF03129.24"
"1358","PF03130.20"
"1359","PF03133.19"
"1360","PF03136.19"
"1361","PF03137.24"
"1362","PF03142.19"
"1363","PF03143.21"
"1364","PF03144.29"
"1365","PF03147.18"
"1366","PF03150.18"
"1367","PF03151.20"
"1368","PF03160.18"
"1369","PF03162.17"
"1370","PF03167.23"
"1371","PF03168.17"
"1372","PF03169.19"
"1373","PF03171.24"
"1374","PF03176.19"
"1375","PF03186.17"
"1376","PF03188.20"
"1377","PF03190.19"
"1378","PF03193.20"
"1379","PF03200.20"
"1380","PF03203.18"
"1381","PF03209.19"
"1382","PF03215.19"
"1383","PF03232.17"
"1384","PF03235.18"
"1385","PF03237.19"
"1386","PF03239.18"
"1387","PF03241.17"
"1388","PF03255.18"
"1389","PF03266.19"
"1390","PF03279.17"
"1391","PF03288.20"
"1392","PF03301.17"
"1393","PF03306.17"
"1394","PF03308.20"
"1395","PF03309.18"
"1396","PF03313.19"
"1397","PF03315.19"
"1398","PF03319.17"
"1399","PF03320.17"
"1400","PF03321.17"
"1401","PF03328.18"
"1402","PF03330.22"
"1403","PF03331.17"
"1404","PF03350.20"
"1405","PF03352.17"
"1406","PF03358.19"
"1407","PF03364.24"
"1408","PF03372.27"
"1409","PF03379.17"
"1410","PF03400.17"
"1411","PF03401.18"
"1412","PF03403.17"
"1413","PF03404.20"
"1414","PF03405.18"
"1415","PF03412.19"
"1416","PF03413.23"
"1417","PF03417.20"
"1418","PF03422.19"
"1419","PF03425.17"
"1420","PF03435.22"
"1421","PF03437.19"
"1422","PF03441.18"
"1423","PF03444.19"
"1424","PF03445.17"
"1425","PF03446.19"
"1426","PF03447.20"
"1427","PF03448.21"
"1428","PF03449.19"
"1429","PF03450.21"
"1430","PF03453.21"
"1431","PF03454.19"
"1432","PF03458.17"
"1433","PF03459.21"
"1434","PF03460.21"
"1435","PF03461.19"
"1436","PF03462.22"
"1437","PF03466.24"
"1438","PF03471.21"
"1439","PF03472.19"
"1440","PF03473.21"
"1441","PF03476.20"
"1442","PF03477.20"
"1443","PF03480.17"
"1444","PF03481.17"
"1445","PF03483.21"
"1446","PF03484.19"
"1447","PF03485.20"
"1448","PF03486.18"
"1449","PF03496.18"
"1450","PF03504.17"
"1451","PF03544.18"
"1452","PF03547.22"
"1453","PF03548.19"
"1454","PF03550.18"
"1455","PF03551.18"
"1456","PF03552.18"
"1457","PF03553.18"
"1458","PF03561.19"
"1459","PF03562.21"
"1460","PF03567.18"
"1461","PF03572.22"
"1462","PF03575.21"
"1463","PF03576.18"
"1464","PF03583.18"
"1465","PF03588.18"
"1466","PF03591.18"
"1467","PF03594.17"
"1468","PF03595.21"
"1469","PF03596.17"
"1470","PF03597.19"
"1471","PF03599.20"
"1472","PF03600.20"
"1473","PF03601.18"
"1474","PF03602.19"
"1475","PF03603.17"
"1476","PF03606.19"
"1477","PF03610.20"
"1478","PF03616.18"
"1479","PF03618.18"
"1480","PF03626.18"
"1481","PF03629.22"
"1482","PF03631.19"
"1483","PF03633.19"
"1484","PF03640.19"
"1485","PF03641.18"
"1486","PF03646.19"
"1487","PF03652.19"
"1488","PF03653.17"
"1489","PF03658.18"
"1490","PF03663.18"
"1491","PF03668.19"
"1492","PF03683.17"
"1493","PF03692.19"
"1494","PF03693.18"
"1495","PF03695.17"
"1496","PF03699.17"
"1497","PF03702.18"
"1498","PF03703.18"
"1499","PF03704.21"
"1500","PF03705.19"
"1501","PF03706.17"
"1502","PF03707.20"
"1503","PF03709.19"
"1504","PF03710.19"
"1505","PF03711.19"
"1506","PF03712.19"
"1507","PF03713.17"
"1508","PF03717.19"
"1509","PF03719.19"
"1510","PF03720.19"
"1511","PF03721.18"
"1512","PF03724.20"
"1513","PF03725.19"
"1514","PF03726.18"
"1515","PF03729.17"
"1516","PF03734.18"
"1517","PF03737.19"
"1518","PF03738.18"
"1519","PF03739.18"
"1520","PF03740.17"
"1521","PF03741.20"
"1522","PF03745.18"
"1523","PF03746.20"
"1524","PF03747.18"
"1525","PF03748.18"
"1526","PF03749.17"
"1527","PF03755.17"
"1528","PF03764.22"
"1529","PF03772.20"
"1530","PF03773.17"
"1531","PF03775.20"
"1532","PF03776.18"
"1533","PF03781.20"
"1534","PF03783.18"
"1535","PF03786.17"
"1536","PF03787.19"
"1537","PF03788.18"
"1538","PF03793.23"
"1539","PF03795.18"
"1540","PF03796.19"
"1541","PF03797.23"
"1542","PF03799.19"
"1543","PF03806.17"
"1544","PF03807.21"
"1545","PF03808.17"
"1546","PF03814.19"
"1547","PF03816.18"
"1548","PF03817.17"
"1549","PF03818.17"
"1550","PF03819.21"
"1551","PF03824.20"
"1552","PF03825.20"
"1553","PF03831.18"
"1554","PF03840.18"
"1555","PF03841.17"
"1556","PF03845.17"
"1557","PF03848.18"
"1558","PF03852.19"
"1559","PF03853.19"
"1560","PF03861.18"
"1561","PF03865.17"
"1562","PF03869.18"
"1563","PF03872.17"
"1564","PF03880.19"
"1565","PF03881.18"
"1566","PF03883.18"
"1567","PF03884.18"
"1568","PF03886.17"
"1569","PF03888.18"
"1570","PF03891.19"
"1571","PF03894.19"
"1572","PF03899.19"
"1573","PF03900.19"
"1574","PF03901.21"
"1575","PF03912.18"
"1576","PF03916.18"
"1577","PF03918.18"
"1578","PF03922.18"
"1579","PF03928.18"
"1580","PF03929.20"
"1581","PF03932.18"
"1582","PF03934.17"
"1583","PF03935.19"
"1584","PF03937.20"
"1585","PF03938.18"
"1586","PF03946.18"
"1587","PF03947.22"
"1588","PF03948.18"
"1589","PF03949.19"
"1590","PF03950.22"
"1591","PF03951.23"
"1592","PF03952.20"
"1593","PF03958.21"
"1594","PF03959.17"
"1595","PF03960.19"
"1596","PF03963.18"
"1597","PF03965.20"
"1598","PF03966.20"
"1599","PF03967.17"
"1600","PF03968.18"
"1601","PF03969.20"
"1602","PF03971.18"
"1603","PF03972.18"
"1604","PF03974.17"
"1605","PF03976.18"
"1606","PF03979.18"
"1607","PF03981.16"
"1608","PF03982.17"
"1609","PF03983.16"
"1610","PF03989.17"
"1611","PF03992.20"
"1612","PF03993.16"
"1613","PF03994.18"
"1614","PF04002.19"
"1615","PF04011.16"
"1616","PF04012.16"
"1617","PF04014.22"
"1618","PF04015.16"
"1619","PF04020.17"
"1620","PF04023.18"
"1621","PF04026.16"
"1622","PF04028.17"
"1623","PF04029.18"
"1624","PF04039.17"
"1625","PF04052.17"
"1626","PF04055.25"
"1627","PF04060.17"
"1628","PF04069.16"
"1629","PF04073.19"
"1630","PF04075.18"
"1631","PF04079.20"
"1632","PF04085.18"
"1633","PF04093.16"
"1634","PF04095.20"
"1635","PF04098.19"
"1636","PF04101.20"
"1637","PF04102.16"
"1638","PF04107.17"
"1639","PF04115.16"
"1640","PF04116.17"
"1641","PF04127.19"
"1642","PF04131.18"
"1643","PF04134.16"
"1644","PF04138.18"
"1645","PF04140.18"
"1646","PF04143.18"
"1647","PF04151.19"
"1648","PF04166.16"
"1649","PF04168.16"
"1650","PF04172.20"
"1651","PF04173.17"
"1652","PF04174.17"
"1653","PF04185.18"
"1654","PF04187.17"
"1655","PF04188.17"
"1656","PF04191.17"
"1657","PF04193.18"
"1658","PF04198.17"
"1659","PF04199.17"
"1660","PF04205.18"
"1661","PF04212.22"
"1662","PF04214.17"
"1663","PF04221.16"
"1664","PF04226.17"
"1665","PF04227.16"
"1666","PF04228.17"
"1667","PF04230.17"
"1668","PF04234.16"
"1669","PF04235.16"
"1670","PF04238.16"
"1671","PF04240.16"
"1672","PF04244.17"
"1673","PF04247.16"
"1674","PF04248.16"
"1675","PF04250.17"
"1676","PF04255.18"
"1677","PF04257.18"
"1678","PF04263.20"
"1679","PF04264.17"
"1680","PF04265.18"
"1681","PF04267.16"
"1682","PF04268.16"
"1683","PF04273.17"
"1684","PF04279.19"
"1685","PF04280.19"
"1686","PF04286.16"
"1687","PF04289.16"
"1688","PF04290.16"
"1689","PF04295.17"
"1690","PF04296.17"
"1691","PF04298.16"
"1692","PF04299.16"
"1693","PF04303.17"
"1694","PF04305.18"
"1695","PF04306.17"
"1696","PF04307.18"
"1697","PF04313.18"
"1698","PF04314.17"
"1699","PF04316.17"
"1700","PF04321.21"
"1701","PF04324.19"
"1702","PF04325.17"
"1703","PF04328.17"
"1704","PF04333.17"
"1705","PF04337.16"
"1706","PF04339.16"
"1707","PF04340.16"
"1708","PF04341.16"
"1709","PF04342.16"
"1710","PF04343.17"
"1711","PF04345.17"
"1712","PF04347.17"
"1713","PF04348.17"
"1714","PF04350.17"
"1715","PF04351.17"
"1716","PF04354.17"
"1717","PF04355.17"
"1718","PF04356.16"
"1719","PF04357.17"
"1720","PF04359.18"
"1721","PF04361.17"
"1722","PF04362.18"
"1723","PF04364.17"
"1724","PF04365.17"
"1725","PF04366.16"
"1726","PF04367.17"
"1727","PF04371.19"
"1728","PF04375.18"
"1729","PF04376.17"
"1730","PF04377.19"
"1731","PF04378.17"
"1732","PF04379.18"
"1733","PF04380.17"
"1734","PF04384.17"
"1735","PF04386.17"
"1736","PF04389.21"
"1737","PF04390.16"
"1738","PF04391.16"
"1739","PF04392.16"
"1740","PF04397.19"
"1741","PF04402.18"
"1742","PF04403.17"
"1743","PF04406.18"
"1744","PF04408.27"
"1745","PF04412.17"
"1746","PF04413.20"
"1747","PF04417.16"
"1748","PF04422.17"
"1749","PF04430.18"
"1750","PF04432.17"
"1751","PF04434.21"
"1752","PF04442.18"
"1753","PF04452.18"
"1754","PF04453.18"
"1755","PF04455.16"
"1756","PF04456.16"
"1757","PF04459.16"
"1758","PF04461.17"
"1759","PF04464.18"
"1760","PF04468.16"
"1761","PF04471.16"
"1762","PF04472.16"
"1763","PF04473.16"
"1764","PF04474.16"
"1765","PF04476.17"
"1766","PF04480.16"
"1767","PF04481.16"
"1768","PF04513.16"
"1769","PF04519.17"
"1770","PF04536.18"
"1771","PF04539.20"
"1772","PF04542.18"
"1773","PF04545.20"
"1774","PF04546.17"
"1775","PF04548.20"
"1776","PF04551.18"
"1777","PF04552.17"
"1778","PF04560.24"
"1779","PF04561.18"
"1780","PF04563.19"
"1781","PF04565.20"
"1782","PF04575.17"
"1783","PF04577.18"
"1784","PF04586.21"
"1785","PF04588.17"
"1786","PF04607.21"
"1787","PF04608.17"
"1788","PF04612.16"
"1789","PF04613.18"
"1790","PF04616.18"
"1791","PF04632.16"
"1792","PF04654.16"
"1793","PF04657.17"
"1794","PF04665.16"
"1795","PF04670.16"
"1796","PF04675.18"
"1797","PF04677.19"
"1798","PF04679.19"
"1799","PF04685.17"
"1800","PF04703.16"
"1801","PF04715.17"
"1802","PF04717.16"
"1803","PF04733.18"
"1804","PF04734.17"
"1805","PF04748.17"
"1806","PF04751.18"
"1807","PF04752.16"
"1808","PF04754.16"
"1809","PF04755.16"
"1810","PF04760.19"
"1811","PF04765.17"
"1812","PF04773.17"
"1813","PF04800.16"
"1814","PF04820.18"
"1815","PF04828.18"
"1816","PF04832.16"
"1817","PF04839.17"
"1818","PF04851.19"
"1819","PF04860.16"
"1820","PF04862.16"
"1821","PF04879.20"
"1822","PF04892.16"
"1823","PF04898.18"
"1824","PF04909.18"
"1825","PF04919.16"
"1826","PF04932.19"
"1827","PF04940.16"
"1828","PF04945.17"
"1829","PF04952.18"
"1830","PF04955.16"
"1831","PF04960.19"
"1832","PF04961.16"
"1833","PF04962.16"
"1834","PF04963.17"
"1835","PF04964.18"
"1836","PF04965.18"
"1837","PF04966.16"
"1838","PF04970.17"
"1839","PF04972.21"
"1840","PF04973.16"
"1841","PF04976.16"
"1842","PF04977.19"
"1843","PF04978.16"
"1844","PF04982.17"
"1845","PF04983.22"
"1846","PF04991.17"
"1847","PF04993.17"
"1848","PF04995.18"
"1849","PF04997.16"
"1850","PF04998.21"
"1851","PF04999.17"
"1852","PF05000.21"
"1853","PF05013.16"
"1854","PF05014.19"
"1855","PF05015.17"
"1856","PF05016.19"
"1857","PF05025.17"
"1858","PF05035.16"
"1859","PF05036.17"
"1860","PF05037.17"
"1861","PF05048.17"
"1862","PF05049.17"
"1863","PF05050.16"
"1864","PF05057.18"
"1865","PF05065.17"
"1866","PF05071.20"
"1867","PF05090.18"
"1868","PF05099.17"
"1869","PF05114.17"
"1870","PF05116.17"
"1871","PF05118.19"
"1872","PF05127.18"
"1873","PF05128.16"
"1874","PF05130.16"
"1875","PF05134.17"
"1876","PF05135.17"
"1877","PF05137.17"
"1878","PF05138.16"
"1879","PF05140.18"
"1880","PF05145.16"
"1881","PF05153.19"
"1882","PF05154.20"
"1883","PF05157.19"
"1884","PF05161.17"
"1885","PF05163.16"
"1886","PF05164.17"
"1887","PF05168.18"
"1888","PF05170.18"
"1889","PF05173.18"
"1890","PF05175.18"
"1891","PF05185.20"
"1892","PF05187.17"
"1893","PF05188.21"
"1894","PF05190.22"
"1895","PF05191.18"
"1896","PF05192.22"
"1897","PF05193.25"
"1898","PF05194.16"
"1899","PF05195.20"
"1900","PF05198.20"
"1901","PF05199.17"
"1902","PF05201.19"
"1903","PF05209.17"
"1904","PF05221.21"
"1905","PF05222.19"
"1906","PF05226.15"
"1907","PF05229.19"
"1908","PF05231.18"
"1909","PF05233.17"
"1910","PF05235.18"
"1911","PF05239.20"
"1912","PF05247.17"
"1913","PF05258.16"
"1914","PF05275.15"
"1915","PF05280.15"
"1916","PF05292.15"
"1917","PF05299.16"
"1918","PF05336.17"
"1919","PF05343.18"
"1920","PF05345.16"
"1921","PF05359.15"
"1922","PF05362.17"
"1923","PF05368.17"
"1924","PF05378.17"
"1925","PF05401.15"
"1926","PF05402.16"
"1927","PF05405.18"
"1928","PF05419.16"
"1929","PF05425.17"
"1930","PF05426.16"
"1931","PF05430.15"
"1932","PF05433.19"
"1933","PF05437.16"
"1934","PF05448.16"
"1935","PF05488.17"
"1936","PF05491.17"
"1937","PF05494.16"
"1938","PF05496.16"
"1939","PF05521.15"
"1940","PF05523.15"
"1941","PF05524.17"
"1942","PF05532.16"
"1943","PF05534.16"
"1944","PF05542.15"
"1945","PF05544.15"
"1946","PF05545.15"
"1947","PF05547.15"
"1948","PF05567.15"
"1949","PF05569.15"
"1950","PF05575.15"
"1951","PF05591.16"
"1952","PF05593.18"
"1953","PF05597.15"
"1954","PF05598.15"
"1955","PF05618.15"
"1956","PF05621.15"
"1957","PF05625.15"
"1958","PF05626.15"
"1959","PF05635.15"
"1960","PF05638.16"
"1961","PF05649.17"
"1962","PF05656.18"
"1963","PF05661.16"
"1964","PF05670.17"
"1965","PF05673.17"
"1966","PF05681.18"
"1967","PF05683.16"
"1968","PF05684.16"
"1969","PF05685.16"
"1970","PF05686.16"
"1971","PF05690.18"
"1972","PF05697.17"
"1973","PF05698.18"
"1974","PF05706.16"
"1975","PF05708.16"
"1976","PF05711.15"
"1977","PF05717.17"
"1978","PF05721.17"
"1979","PF05724.15"
"1980","PF05726.17"
"1981","PF05728.16"
"1982","PF05729.16"
"1983","PF05732.15"
"1984","PF05736.15"
"1985","PF05742.16"
"1986","PF05746.19"
"1987","PF05751.15"
"1988","PF05753.18"
"1989","PF05762.18"
"1990","PF05768.18"
"1991","PF05783.15"
"1992","PF05787.17"
"1993","PF05833.15"
"1994","PF05834.16"
"1995","PF05838.16"
"1996","PF05845.16"
"1997","PF05853.16"
"1998","PF05860.17"
"1999","PF05861.16"
"2000","PF05872.16"
"2001","PF05889.17"
"2002","PF05893.18"
"2003","PF05899.16"
"2004","PF05901.15"
"2005","PF05930.16"
"2006","PF05932.17"
"2007","PF05935.15"
"2008","PF05936.16"
"2009","PF05940.16"
"2010","PF05943.16"
"2011","PF05947.16"
"2012","PF05951.17"
"2013","PF05954.15"
"2014","PF05957.17"
"2015","PF05958.15"
"2016","PF05960.15"
"2017","PF05962.15"
"2018","PF05969.15"
"2019","PF05970.18"
"2020","PF05971.16"
"2021","PF05973.18"
"2022","PF05974.16"
"2023","PF05977.17"
"2024","PF05982.16"
"2025","PF05985.15"
"2026","PF05990.16"
"2027","PF05991.15"
"2028","PF05992.16"
"2029","PF05995.16"
"2030","PF06007.15"
"2031","PF06013.16"
"2032","PF06026.18"
"2033","PF06027.16"
"2034","PF06028.15"
"2035","PF06035.15"
"2036","PF06039.19"
"2037","PF06055.16"
"2038","PF06068.17"
"2039","PF06071.17"
"2040","PF06073.16"
"2041","PF06078.15"
"2042","PF06080.16"
"2043","PF06089.16"
"2044","PF06094.16"
"2045","PF06100.15"
"2046","PF06108.16"
"2047","PF06114.17"
"2048","PF06127.15"
"2049","PF06130.16"
"2050","PF06144.17"
"2051","PF06146.16"
"2052","PF06155.16"
"2053","PF06165.15"
"2054","PF06167.16"
"2055","PF06170.16"
"2056","PF06172.15"
"2057","PF06175.15"
"2058","PF06180.15"
"2059","PF06181.15"
"2060","PF06182.15"
"2061","PF06187.15"
"2062","PF06189.16"
"2063","PF06199.15"
"2064","PF06206.15"
"2065","PF06210.15"
"2066","PF06213.16"
"2067","PF06224.16"
"2068","PF06226.17"
"2069","PF06230.15"
"2070","PF06240.17"
"2071","PF06242.15"
"2072","PF06243.15"
"2073","PF06245.15"
"2074","PF06250.15"
"2075","PF06253.15"
"2076","PF06258.15"
"2077","PF06259.16"
"2078","PF06262.15"
"2079","PF06267.16"
"2080","PF06271.16"
"2081","PF06277.15"
"2082","PF06283.15"
"2083","PF06293.18"
"2084","PF06296.16"
"2085","PF06298.15"
"2086","PF06299.16"
"2087","PF06305.15"
"2088","PF06315.15"
"2089","PF06319.16"
"2090","PF06325.17"
"2091","PF06342.16"
"2092","PF06347.17"
"2093","PF06414.16"
"2094","PF06415.17"
"2095","PF06418.18"
"2096","PF06421.16"
"2097","PF06426.18"
"2098","PF06429.17"
"2099","PF06433.15"
"2100","PF06434.17"
"2101","PF06439.15"
"2102","PF06441.16"
"2103","PF06445.19"
"2104","PF06452.15"
"2105","PF06463.17"
"2106","PF06470.17"
"2107","PF06472.19"
"2108","PF06480.19"
"2109","PF06485.15"
"2110","PF06490.15"
"2111","PF06508.17"
"2112","PF06514.15"
"2113","PF06525.15"
"2114","PF06532.15"
"2115","PF06537.15"
"2116","PF06559.15"
"2117","PF06564.16"
"2118","PF06568.15"
"2119","PF06574.16"
"2120","PF06580.17"
"2121","PF06609.17"
"2122","PF06620.15"
"2123","PF06627.15"
"2124","PF06629.16"
"2125","PF06676.15"
"2126","PF06684.15"
"2127","PF06689.17"
"2128","PF06698.15"
"2129","PF06722.16"
"2130","PF06723.17"
"2131","PF06725.15"
"2132","PF06733.19"
"2133","PF06738.16"
"2134","PF06739.15"
"2135","PF06742.15"
"2136","PF06745.17"
"2137","PF06750.17"
"2138","PF06751.15"
"2139","PF06754.16"
"2140","PF06769.18"
"2141","PF06776.16"
"2142","PF06778.16"
"2143","PF06779.18"
"2144","PF06781.16"
"2145","PF06792.15"
"2146","PF06793.16"
"2147","PF06799.15"
"2148","PF06803.16"
"2149","PF06804.15"
"2150","PF06808.16"
"2151","PF06812.16"
"2152","PF06821.17"
"2153","PF06827.18"
"2154","PF06831.18"
"2155","PF06832.16"
"2156","PF06833.15"
"2157","PF06835.17"
"2158","PF06838.15"
"2159","PF06844.15"
"2160","PF06850.15"
"2161","PF06853.16"
"2162","PF06863.16"
"2163","PF06864.16"
"2164","PF06865.15"
"2165","PF06868.15"
"2166","PF06888.16"
"2167","PF06897.16"
"2168","PF06904.16"
"2169","PF06912.15"
"2170","PF06945.17"
"2171","PF06961.17"
"2172","PF06962.16"
"2173","PF06965.16"
"2174","PF06966.16"
"2175","PF06968.17"
"2176","PF06969.20"
"2177","PF06971.17"
"2178","PF06974.17"
"2179","PF06996.15"
"2180","PF07005.15"
"2181","PF07007.16"
"2182","PF07015.15"
"2183","PF07021.16"
"2184","PF07022.17"
"2185","PF07024.17"
"2186","PF07043.17"
"2187","PF07044.15"
"2188","PF07045.15"
"2189","PF07072.15"
"2190","PF07075.15"
"2191","PF07081.15"
"2192","PF07085.16"
"2193","PF07088.15"
"2194","PF07090.15"
"2195","PF07103.15"
"2196","PF07109.15"
"2197","PF07110.15"
"2198","PF07143.15"
"2199","PF07152.16"
"2200","PF07158.15"
"2201","PF07167.17"
"2202","PF07171.16"
"2203","PF07176.15"
"2204","PF07195.16"
"2205","PF07196.17"
"2206","PF07209.16"
"2207","PF07210.16"
"2208","PF07219.17"
"2209","PF07221.15"
"2210","PF07224.15"
"2211","PF07228.16"
"2212","PF07233.16"
"2213","PF07238.18"
"2214","PF07244.19"
"2215","PF07254.16"
"2216","PF07277.15"
"2217","PF07282.15"
"2218","PF07284.15"
"2219","PF07286.16"
"2220","PF07287.15"
"2221","PF07298.15"
"2222","PF07309.15"
"2223","PF07311.16"
"2224","PF07313.16"
"2225","PF07323.16"
"2226","PF07330.16"
"2227","PF07331.15"
"2228","PF07332.15"
"2229","PF07345.15"
"2230","PF07362.16"
"2231","PF07364.16"
"2232","PF07366.16"
"2233","PF07368.15"
"2234","PF07370.15"
"2235","PF07372.16"
"2236","PF07377.16"
"2237","PF07378.15"
"2238","PF07382.15"
"2239","PF07386.15"
"2240","PF07387.15"
"2241","PF07394.16"
"2242","PF07396.15"
"2243","PF07399.15"
"2244","PF07444.15"
"2245","PF07449.15"
"2246","PF07451.15"
"2247","PF07452.16"
"2248","PF07466.15"
"2249","PF07475.16"
"2250","PF07476.15"
"2251","PF07478.17"
"2252","PF07479.18"
"2253","PF07483.15"
"2254","PF07486.16"
"2255","PF07494.15"
"2256","PF07495.17"
"2257","PF07497.16"
"2258","PF07498.16"
"2259","PF07499.17"
"2260","PF07503.16"
"2261","PF07504.17"
"2262","PF07508.17"
"2263","PF07510.15"
"2264","PF07516.17"
"2265","PF07517.18"
"2266","PF07521.16"
"2267","PF07536.18"
"2268","PF07542.15"
"2269","PF07549.18"
"2270","PF07559.18"
"2271","PF07568.16"
"2272","PF07583.15"
"2273","PF07584.15"
"2274","PF07585.15"
"2275","PF07586.15"
"2276","PF07587.15"
"2277","PF07589.15"
"2278","PF07592.15"
"2279","PF07593.16"
"2280","PF07595.16"
"2281","PF07596.15"
"2282","PF07603.15"
"2283","PF07606.15"
"2284","PF07607.15"
"2285","PF07608.15"
"2286","PF07609.15"
"2287","PF07610.15"
"2288","PF07617.15"
"2289","PF07624.15"
"2290","PF07626.15"
"2291","PF07627.15"
"2292","PF07631.15"
"2293","PF07635.15"
"2294","PF07637.15"
"2295","PF07638.15"
"2296","PF07639.15"
"2297","PF07642.15"
"2298","PF07643.15"
"2299","PF07646.19"
"2300","PF07647.21"
"2301","PF07650.21"
"2302","PF07660.18"
"2303","PF07661.17"
"2304","PF07662.17"
"2305","PF07664.16"
"2306","PF07669.15"
"2307","PF07670.18"
"2308","PF07676.16"
"2309","PF07678.18"
"2310","PF07679.20"
"2311","PF07681.16"
"2312","PF07683.18"
"2313","PF07685.18"
"2314","PF07687.18"
"2315","PF07688.16"
"2316","PF07689.16"
"2317","PF07690.20"
"2318","PF07691.16"
"2319","PF07693.18"
"2320","PF07695.15"
"2321","PF07696.15"
"2322","PF07697.15"
"2323","PF07698.15"
"2324","PF07700.19"
"2325","PF07702.17"
"2326","PF07703.18"
"2327","PF07704.15"
"2328","PF07705.15"
"2329","PF07714.21"
"2330","PF07715.19"
"2331","PF07717.20"
"2332","PF07719.21"
"2333","PF07720.16"
"2334","PF07721.18"
"2335","PF07722.17"
"2336","PF07724.18"
"2337","PF07726.15"
"2338","PF07727.18"
"2339","PF07728.18"
"2340","PF07729.16"
"2341","PF07730.17"
"2342","PF07731.18"
"2343","PF07732.19"
"2344","PF07733.16"
"2345","PF07736.15"
"2346","PF07739.17"
"2347","PF07743.17"
"2348","PF07746.15"
"2349","PF07748.17"
"2350","PF07750.15"
"2351","PF07751.15"
"2352","PF07755.15"
"2353","PF07769.18"
"2354","PF07784.15"
"2355","PF07786.16"
"2356","PF07793.15"
"2357","PF07796.15"
"2358","PF07804.16"
"2359","PF07811.16"
"2360","PF07813.16"
"2361","PF07819.17"
"2362","PF07831.17"
"2363","PF07836.15"
"2364","PF07837.16"
"2365","PF07845.15"
"2366","PF07848.16"
"2367","PF07853.15"
"2368","PF07859.17"
"2369","PF07862.15"
"2370","PF07876.16"
"2371","PF07878.15"
"2372","PF07879.15"
"2373","PF07883.15"
"2374","PF07884.18"
"2375","PF07885.20"
"2376","PF07894.16"
"2377","PF07896.16"
"2378","PF07907.15"
"2379","PF07927.16"
"2380","PF07929.15"
"2381","PF07940.17"
"2382","PF07943.17"
"2383","PF07944.16"
"2384","PF07947.18"
"2385","PF07963.16"
"2386","PF07969.15"
"2387","PF07973.18"
"2388","PF07977.17"
"2389","PF07978.17"
"2390","PF07991.16"
"2391","PF07992.18"
"2392","PF07993.16"
"2393","PF07994.16"
"2394","PF07995.15"
"2395","PF08000.15"
"2396","PF08002.15"
"2397","PF08003.15"
"2398","PF08007.16"
"2399","PF08009.15"
"2400","PF08016.16"
"2401","PF08028.15"
"2402","PF08029.15"
"2403","PF08030.16"
"2404","PF08032.16"
"2405","PF08041.15"
"2406","PF08085.15"
"2407","PF08123.17"
"2408","PF08125.17"
"2409","PF08148.16"
"2410","PF08206.15"
"2411","PF08207.16"
"2412","PF08211.16"
"2413","PF08212.16"
