"","bin","presence_count","presence_category","mags_direction_consistency"
"111","ND50_MAG_00043",3,"Present in all 3 dates","Consistent"
"112","ND50_MAG_00044",3,"Present in all 3 dates","Consistent"
"113","ND50_MAG_00045",3,"Present in all 3 dates","Consistent"
"114","ND50_MAG_00046",3,"Present in all 3 dates","Consistent"
"115","ND50_MAG_00048",2,"Present in 2 dates","Consistent"
"116","ND50_MAG_00050",2,"Present in 2 dates","Consistent"
"117","ND50_MAG_00051",2,"Present in 2 dates","Variable"
"118","ND50_MAG_00052",2,"Present in 2 dates","Consistent"
"119","ND50_MAG_00053",3,"Present in all 3 dates","Consistent"
"120","ND50_MAG_00054",3,"Present in all 3 dates","Consistent"
"121","ND50_MAG_00055",3,"Present in all 3 dates","Variable"
"122","ND50_MAG_00056",2,"Present in 2 dates","Consistent"
"123","ND50_MAG_00057",3,"Present in all 3 dates","Consistent"
"124","ND50_MAG_00058",2,"Present in 2 dates","Consistent"
"125","ND50_MAG_00059",3,"Present in all 3 dates","Consistent"
"126","ND50_MAG_00060",3,"Present in all 3 dates","Consistent"
"127","ND57_MAG_00001",1,"Present only once","Consistent"
"128","ND57_MAG_00002",2,"Present in 2 dates","Consistent"
"129","ND57_MAG_00003",3,"Present in all 3 dates","Consistent"
"130","ND57_MAG_00004",3,"Present in all 3 dates","Consistent"
"131","ND57_MAG_00005",3,"Present in all 3 dates","Consistent"
"132","ND57_MAG_00006",1,"Present only once","Consistent"
"133","ND57_MAG_00007",2,"Present in 2 dates","Consistent"
"134","ND57_MAG_00009",1,"Present only once","Consistent"
"135","ND57_MAG_00010",3,"Present in all 3 dates","Consistent"
"136","ND57_MAG_00011",3,"Present in all 3 dates","Consistent"
"137","ND57_MAG_00012",1,"Present only once","Consistent"
"138","ND57_MAG_00014",3,"Present in all 3 dates","Consistent"
"139","ND57_MAG_00016",1,"Present only once","Consistent"
"140","ND57_MAG_00017",2,"Present in 2 dates","Consistent"
"141","ND57_MAG_00018",3,"Present in all 3 dates","Consistent"
"142","ND57_MAG_00020",3,"Present in all 3 dates","Consistent"
"143","ND57_MAG_00021",1,"Present only once","Consistent"
"144","ND57_MAG_00023",2,"Present in 2 dates","Variable"
"145","ND57_MAG_00025",3,"Present in all 3 dates","Variable"
"146","ND57_MAG_00026",3,"Present in all 3 dates","Consistent"
"147","ND57_MAG_00027",3,"Present in all 3 dates","Consistent"
"148","ND57_MAG_00028",1,"Present only once","Consistent"
"149","ND57_MAG_00029",1,"Present only once","Consistent"
"150","ND57_MAG_00030",1,"Present only once","Consistent"
"151","ND57_MAG_00031",1,"Present only once","Consistent"
"152","ND57_MAG_00032",1,"Present only once","Consistent"
"153","ND57_MAG_00033",2,"Present in 2 dates","Consistent"
"154","ND57_MAG_00034",3,"Present in all 3 dates","Consistent"
"155","ND57_MAG_00035",2,"Present in 2 dates","Consistent"
"156","ND57_MAG_00036",3,"Present in all 3 dates","Consistent"
"157","ND57_MAG_00037",3,"Present in all 3 dates","Consistent"
"158","ND57_MAG_00038",3,"Present in all 3 dates","Variable"
"159","ND57_MAG_00040",3,"Present in all 3 dates","Consistent"
"160","ND57_MAG_00041",1,"Present only once","Consistent"
"161","ND57_MAG_00042",3,"Present in all 3 dates","Consistent"
"162","ND57_MAG_00043",1,"Present only once","Consistent"
"163","ND57_MAG_00044",2,"Present in 2 dates","Consistent"
"164","ND57_MAG_00045",1,"Present only once","Consistent"
"165","ND57_MAG_00046",1,"Present only once","Consistent"
"166","ND57_MAG_00047",1,"Present only once","Consistent"
"167","ND57_MAG_00048",3,"Present in all 3 dates","Consistent"
"168","ND57_MAG_00049",3,"Present in all 3 dates","Consistent"
"169","ND57_MAG_00050",1,"Present only once","Consistent"
"170","ND57_MAG_00051",1,"Present only once","Consistent"
"171","ND57_MAG_00053",1,"Present only once","Consistent"
"172","ND57_MAG_00054",1,"Present only once","Consistent"
"173","ND57_MAG_00055",1,"Present only once","Consistent"
"174","ND57_MAG_00056",3,"Present in all 3 dates","Consistent"
"175","ND57_MAG_00057",3,"Present in all 3 dates","Consistent"
"176","ND57_MAG_00058",3,"Present in all 3 dates","Consistent"
"177","ND57_MAG_00059",3,"Present in all 3 dates","Variable"
"178","ND57_MAG_00060",3,"Present in all 3 dates","Variable"
"179","ND57_MAG_00061",3,"Present in all 3 dates","Variable"
"180","ND57_MAG_00062",3,"Present in all 3 dates","Consistent"
"181","ND57_MAG_00063",3,"Present in all 3 dates","Consistent"
